block_index,performance,effective_increment,val_mae,val_naive_mae,train_mae,train_naive_mae,test_mae,test_naive_mae,window_size,batch_size,tcn_filters,use_log1p_features,experiment_id,time_seconds
1,0.0006962947547435761,0.00010063716117288505,0.008436857722699642,0.008680934086441994,0.010219842195510864,0.009617884643375874,0.0058748070150613785,0.005689847748726606,76,,,['typical_price'],59b65577c1a14adeb57735f80b45bae8,121.788
2,-3.603696823120117e-05,8.231006519704779e-06,0.008650638163089752,0.00865054689347744,0.009512313641607761,0.009602999314665794,0.005603575613349676,0.005675014574080706,60,,,None,59b65577c1a14adeb57735f80b45bae8,8899.989
3,-5.145370960235596e-05,7.4367288148036335e-06,0.008614151738584042,0.008646906353533268,0.009523412212729454,0.009602914564311504,0.005624343641102314,0.00571595411747694,51,,,None,cc79887889734c678d1864e26e0bd240,60791.82
4,-7.291175425052642e-05,1.0538190158553835e-05,0.008636224083602428,0.008678399957716465,0.009491859003901482,0.009610874578356743,0.005586575251072645,0.0056884740479290485,67,,,None,cc79887889734c678d1864e26e0bd240,69118.65
5,-0.00012214798480272293,1.765447429659045e-05,0.008532747626304626,0.00869325827807188,0.0095546068623662,0.009619210846722126,0.005419729743152857,0.005672350060194731,79,31,19,['typical_price'],016da32541cf467894dacab73565dc7b,132918.241
