experiment_id,round_id,domain_id,node_id,timestamp_utc,wall_clock_seconds,experiment_start_utc,time_to_current_best_seconds,time_to_target_seconds,total_rounds,round_number,performance,best_performance,target_performance,performance_delta,converged,parameters,best_parameters,optimization_config,param_bounds,hostname,optimizer_plugin,doin_version,chain_height,peers_count,block_reward_earned
3ab2c241a1e64bf89cedbc16a06d4531,8b38a6e8914c4f558c4a203ebc3ae1ac,quadratic,3e88450582dee411fc9ec3f0de04e19dc816634e,2026-02-15T04:34:34.106162+00:00,13.984032,2026-02-15T04:33:50.079437+00:00,44.026725,,1,1,-678.0219776042438,-678.0219776042438,-100.0,-678.021978,False,"{""x"": [7.221176245086546, -4.843991880029072, -1.0710088304982242, -9.857023289878597, -7.143053936010401, -9.380695322509546, -9.438494961980293, 3.6117675638151616, 9.725695704026387, 7.123547239452277]}","{""x"": [7.221176245086546, -4.843991880029072, -1.0710088304982242, -9.857023289878597, -7.143053936010401, -9.380695322509546, -9.438494961980293, 3.6117675638151616, 9.725695704026387, 7.123547239452277]}","{""n_params"": 10, ""step_size"": 0.5}","{""x"": [-20.0, 20.0]}",Dragon,simple_quadratic,0.1.0,1,1,0.0
3ab2c241a1e64bf89cedbc16a06d4531,4204ede8b24d429c9636cf2e60c6fdac,quadratic,3e88450582dee411fc9ec3f0de04e19dc816634e,2026-02-15T04:35:03.104926+00:00,13.973607,2026-02-15T04:33:50.079437+00:00,73.025489,,2,2,-654.7665202924376,-654.7665202924376,-100.0,23.255457,False,"{""x"": [6.805450654042374, -4.898089746604349, -1.0144635585885988, -9.261835727526138, -6.9216220563569015, -10.357266408267659, -8.68834628396893, 3.5906910507579144, 9.420083351946625, 6.495109194006396]}","{""x"": [6.805450654042374, -4.898089746604349, -1.0144635585885988, -9.261835727526138, -6.9216220563569015, -10.357266408267659, -8.68834628396893, 3.5906910507579144, 9.420083351946625, 6.495109194006396]}","{""n_params"": 10, ""step_size"": 0.5}","{""x"": [-20.0, 20.0]}",Dragon,simple_quadratic,0.1.0,1,1,0.0
3ab2c241a1e64bf89cedbc16a06d4531,4e36517cbb1f4aa4b1cae157ed6a7c85,quadratic,3e88450582dee411fc9ec3f0de04e19dc816634e,2026-02-15T04:35:32.104826+00:00,13.980419,2026-02-15T04:33:50.079437+00:00,102.02539,,3,3,-634.4988011667041,-634.4988011667041,-100.0,20.267719,False,"{""x"": [5.896938705514229, -5.052793657529275, -1.3896958821821535, -9.255530028482415, -7.053603098321725, -10.215967601419484, -8.975971621942131, 3.6494189756543465, 8.444360735244118, 6.800877644732996]}","{""x"": [5.896938705514229, -5.052793657529275, -1.3896958821821535, -9.255530028482415, -7.053603098321725, -10.215967601419484, -8.975971621942131, 3.6494189756543465, 8.444360735244118, 6.800877644732996]}","{""n_params"": 10, ""step_size"": 0.5}","{""x"": [-20.0, 20.0]}",Dragon,simple_quadratic,0.1.0,1,1,0.0
3ab2c241a1e64bf89cedbc16a06d4531,6506303ab3f9473f85e90e30be340a9a,quadratic,3e88450582dee411fc9ec3f0de04e19dc816634e,2026-02-15T04:36:01.104798+00:00,13.980819,2026-02-15T04:33:50.079437+00:00,102.02539,,4,4,-634.4988011667041,-634.4988011667041,-100.0,0.0,False,"{""x"": [5.896938705514229, -5.052793657529275, -1.3896958821821535, -9.255530028482415, -7.053603098321725, -10.215967601419484, -8.975971621942131, 3.6494189756543465, 8.444360735244118, 6.800877644732996]}","{""x"": [5.896938705514229, -5.052793657529275, -1.3896958821821535, -9.255530028482415, -7.053603098321725, -10.215967601419484, -8.975971621942131, 3.6494189756543465, 8.444360735244118, 6.800877644732996]}","{""n_params"": 10, ""step_size"": 0.5}","{""x"": [-20.0, 20.0]}",Dragon,simple_quadratic,0.1.0,1,1,0.0
3ab2c241a1e64bf89cedbc16a06d4531,90e3251798b54d688498e72f7a231598,quadratic,3e88450582dee411fc9ec3f0de04e19dc816634e,2026-02-15T04:36:30.105752+00:00,13.975038,2026-02-15T04:33:50.079437+00:00,160.026317,,5,5,-621.1879757590841,-621.1879757590841,-100.0,13.310825,False,"{""x"": [5.7698226866769335, -5.315090217560051, -1.508485300371753, -9.19949076135809, -6.249333518670023, -10.238174145318904, -8.057233156845351, 3.6484107239931114, 8.779131346393438, 6.51626865120826]}","{""x"": [5.7698226866769335, -5.315090217560051, -1.508485300371753, -9.19949076135809, -6.249333518670023, -10.238174145318904, -8.057233156845351, 3.6484107239931114, 8.779131346393438, 6.51626865120826]}","{""n_params"": 10, ""step_size"": 0.5}","{""x"": [-20.0, 20.0]}",Dragon,simple_quadratic,0.1.0,1,1,0.0
